"make";"model";"car";"year";"Body";"Odometer";"Transmission";"price";"URL";"state";"adType"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Auto";2011;"Sedan";64603;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14495773/?Cr=77";"VIC";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Hatch";54146;"Automatic";14673;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14567927/?Cr=78";"WA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx Sport BL Series 2 Manual";2011;"Hatch";101000;"Manual";12900;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-4659906/?Cr=79";"NSW";"Private Seller Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";126688;"Automatic";12940;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14425391/?Cr=80";"VIC";"Used Car"
"MAZDA";"3";"2009 Mazda 3 Neo Sport BK Series 2 Auto";2009;"Hatch";131920;"Automatic";11888;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14440105/?Cr=81";"SA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 SP25 BL Series 1 Manual";2011;"Sedan";145579;"Manual";9999;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-13957993/?Cr=82";"VIC";"Used Car"
"MAZDA";"6";"2002 Mazda 6 Luxury Sports GG Series 1 Auto";2002;"Hatch";153209;"Automatic";7999;"http://www.carsales.com.au/dealer/details/Mazda-6-2002/OAG-AD-14498688/?Cr=83";"SA";"Used Car"
"MAZDA";"2";"2010 Mazda 2 Neo DE Series 1 Manual";2010;"Hatch";32050;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-2-2010/OAG-AD-14542709/?Cr=84";"WA";"Used Car"
"MAZDA";"2";"2012 Mazda 2 Maxx DE Series 2 Auto";2012;"Hatch";39898;"Automatic";13800;"http://www.carsales.com.au/dealer/details/Mazda-2-2012/OAG-AD-14310891/?Cr=85";"WA";"Used Car"
"MAZDA";"6";"2012 Mazda 6 Touring GH Series 2 Auto";2012;"Hatch";137175;"Automatic";12945;"http://www.carsales.com.au/dealer/details/Mazda-6-2012/OAG-AD-13621493/?Cr=86";"NSW";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Manual";2013;"Hatch";65007;"Manual";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14185398/?Cr=87";"SA";"Used Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Hatch";59492;"Automatic";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14473204/?Cr=88";"VIC";"Used Car"
